name,lat,lon
Optik Krida,-6.9155783,107.5720023
Sudirman 3,-6.9115427,107.5695853
Simpang Banda Riau,-6.9063977,107.6159615
SMA Kartika,-6.9095119,107.6267411
Summarecon Mall Bandung,-6.9555627,107.6991618
Rajawali 1,-6.9137093,107.5782084
Dunguscariang,-6.914862,107.5829074
SMA Trinitas,-6.9164853,107.5917182
Rumah Sakit Kebon Jati,-6.9162875,107.5966128
GKI Kebonjati,-6.9162271,107.5988525
SMA Pasundan,-6.9161651,107.599586
Lembong,-6.9164083,107.6098295
RSU Bungsu,-6.9182109,107.6133144
Seberang Pasar Kosambi,-6.9199678,107.6221927
Kantor Pos Kosambi,-6.9192619,107.6235428
Seberang Borma Antapani,-6.9130608,107.6492732
Katapang Kaler,-6.921077,107.6198025
Katapang Kaler 1,-6.9212009,107.6198657
Simpang Lima Asia Afrika,-6.9223111,107.6162145
Simpang Sudirman,-6.920813,107.603822
Simpang Jamika,-6.9188722,107.5874464
SMAN 6 Bandung,-6.9114176,107.5978589
Bandung Electronic Center,-6.9081566,107.6094288
Taman Sejarah Balai Kota Bandung,-6.9104333,107.6106485
Hotel The-One-O-One A,-6.9064821,107.6104987
Hotel The-One-O-One B,-6.9065967,107.6106928
Toko Mas ABC,-6.9230321,107.6040007
Simpang Ijan,-6.9280476,107.6036723
Taman Tegallega,-6.9364866,107.6030151
Madurasa Tengah,-6.9451896,107.6084009
Rumah Sakit Immanuel A,-6.9371915,107.5956852
Hotel Grand Pasundan,-6.9361205,107.5933874
Bumi Kopo Kencana,-6.9335898,107.5905118
Simpang Pasir Koja,-6.9270868,107.5849703
SPBU Pasir Koja,-6.9292794,107.579296
Sumber Sari Junction,-6.9323917,107.5767037
Pasar Induk Caringin,-6.9418656,107.5831695
Grand Yogya Kepatihan,-6.923845,107.6062023
PLN UP3 Bandung B,-6.9484533,107.6121647
LPKIA B,-6.9494075,107.6248232
Bangunan Mart B,-6.9492972,107.628094
Swadarma BNI,-6.950362,107.6358162
Pasar Kordon B,-6.9534628,107.6387339
Bluebird B,-6.9584133,107.6395287
Puskesmas Kujangsari B,-6.9649738,107.6381537
Unpad Kampus Iwa Koesoemasoemantri,-6.8932886,107.6178786
Cibarengkok,-6.8960705,107.5971627
Jalan Merak,-6.8991893,107.6204455
Puskesmas Kujangsari A,-6.9647745,107.6379913
Bluebird A,-6.9576973,107.6394485
Pasar Kordon A,-6.9542,107.6388882
JAPNAS,-6.9512527,107.6364471
Medal Sekarwangi,-6.9484832,107.6323261
Bangunan Mart A,-6.9494917,107.6281594
LPKIA A,-6.9495579,107.6242341
PLN UP3 Bandung A,-6.9486572,107.6120894
