place_id,name,lat,lon,rating,total_reviews,category,types,nearest_stop,stop_lat,stop_lon
ChIJz3D8WMbCaC4RgRH_91Z1KIQ,PT Pertamina (Persero),-6.937216299999999,107.6945349,4.3,172,lainnya,"establishment,gas_station,point_of_interest",Shakti,-6.9368707,107.697091
ChIJZ09lY6TCaC4RCqAo3m8RYPk,SPBU Pertamina 34.40226 Cipamokolan,-6.9403229,107.6774392,4.1,1164,lainnya,"establishment,gas_station,point_of_interest",Cipamokolan,-6.9383287,107.676837
ChIJhX4By6XCaC4RVDp2JqbmPCE,Bengkel Resmi Sepeda Motor Honda AHASS Hero Motor,-6.9384523,107.6760917,4.5,477,komersial,"establishment,point_of_interest,store",Cipamokolan,-6.9383287,107.676837
ChIJy49KuqXCaC4R5i-auEKSbXw,Indo Sarana Bandung,-6.9378211,107.6766939,4.4,235,komersial,"establishment,point_of_interest,store",Cipamokolan,-6.9383287,107.676837
ChIJGUlBTqTCaC4RXqlkcuBGs68,Sakinah Kerudung Riung,-6.9383612,107.677227,4.7,94,komersial,"clothing_store,establishment,point_of_interest,store",Cipamokolan,-6.9383287,107.676837
ChIJAbvlNNjCaC4RfXMt4C3hyrE,TNT Express,-6.9380458,107.674804,3.5,71,lainnya,"establishment,point_of_interest",Cipamokolan,-6.9383287,107.676837
ChIJo5djCqLmaC4RHfcaQjMluCw,SMKN 6 Kota Bandung,-6.9405695,107.6799085,4.6,485,lainnya,"establishment,point_of_interest",Ranca Mekar,-6.9381511,107.6794103
ChIJnQhYJ03DaC4RjhP5fstRl2A,Suzuki Gedebage PT.Nusantara Jaya Sentosa,-6.9381853,107.6794118,4.9,355,komersial,"car_dealer,establishment,point_of_interest,store",Ranca Mekar,-6.9381511,107.6794103
ChIJp8gpsjvmaC4RwZeuw36oyWA,Granity Suplier Marmer & Granit,-6.9360946,107.6776838,5.0,54,lainnya,"establishment,point_of_interest",Ranca Mekar,-6.9381511,107.6794103
ChIJD6gzY6jCaC4RWgzIF7k578w,Agungrent,-6.938233599999999,107.679407,4.3,29,lainnya,"car_rental,establishment,point_of_interest",Ranca Mekar,-6.9381511,107.6794103
ChIJC5c6hxToaC4RJ39vkvWBzaQ,Depo Bangunan Bandung,-6.939711099999999,107.6713925,4.5,6001,katering,"establishment,food,furniture_store,grocery_or_supermarket,home_goods_store",Komplek Aria Graha,-6.9386008,107.6729063
ChIJZZWGZhToaC4RlinA53tBLgs,Ayam Goreng Suharti,-6.938606,107.6736735,4.3,943,katering,"establishment,food,meal_takeaway,point_of_interest,restaurant",Komplek Aria Graha,-6.9386008,107.6729063
ChIJl_-erqfCaC4RYpwdyGUiQVc,PT. Combi Logistics Indonesia,-6.9369371,107.6718653,5.0,206,lainnya,"establishment,point_of_interest",Komplek Aria Graha,-6.9386008,107.6729063
ChIJFyU4cBzoaC4RF7_fGDAYt20,InspiraTV,-6.9399032,107.6726598,4.6,173,lainnya,"establishment,point_of_interest",Komplek Aria Graha,-6.9386008,107.6729063
