tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class
5455661685_5461446959_STOP337,14,605.6714285714286,524.3,764.8,Karangsetra Waterland,"['Jalan Cipedes Tengah', 'Jalan Setra Indah', 'Jalan Setra Indah Barat', 'Jalan Suka Mulya']",tertiary,-6.880342005099968,107.59014121312053,Sedang (400-800m)
5455661685_5461446959_STOP352,6,741.6166666666667,700.9,807.5,Setrasari,"['Jalan Cipedes Tengah', 'Jalan Setra Indah', 'Jalan Setra Indah Barat', 'Jalan Suka Mulya']",tertiary,-6.883467293971148,107.58809531631162,Sedang (400-800m)
5455661685_5461446959_STOP477,1,804.3,804.3,804.3,Mandiri Sukajadi,"['Jalan Cipedes Tengah', 'Jalan Setra Indah', 'Jalan Setra Indah Barat', 'Jalan Suka Mulya']",tertiary,-6.883050970276903,107.58922726344746,Jauh (>800m)
5455661685_7298267086_STOP337,7,392.4714285714286,248.8,540.8,Karangsetra Waterland,Jalan Sindang Sirna,primary,-6.877904750615879,107.59189960354368,Dekat (200-400m)
5455694139_11199413656_STOP267,2,491.5,490.0,493.0,Stasiun Cimekar 2,Jalan Rancanumpang,secondary,-6.947087066891986,107.70569648040214,Sedang (400-800m)
5455694139_11199413656_STOP386,1,427.5,427.5,427.5,Sekolah Al-Azhar Summarecon,Jalan Rancanumpang,secondary,-6.960549540951793,107.70529210824635,Sedang (400-800m)
5455694139_11199413656_STOP387,3,375.8333333333333,347.4,405.7,Dayana,Jalan Rancanumpang,secondary,-6.961442635358064,107.70515466918982,Dekat (200-400m)
5455694139_11199413656_STOP820,18,383.2722222222222,279.7,600.0,Flora,Jalan Rancanumpang,secondary,-6.956275659069273,107.70566706804884,Dekat (200-400m)
5455694139_11199413656_STOP825,11,490.89090909090913,429.1,592.0,Stasiun Cimekar 1,Jalan Rancanumpang,secondary,-6.949866202807526,107.70594553242391,Sedang (400-800m)
5455694139_6640792413_STOP267,9,694.2666666666667,493.0,895.6,Stasiun Cimekar 2,,tertiary,-6.946281671893013,107.70403383707973,Sedang (400-800m)
5455694139_6640792414_STOP267,1,493.0,493.0,493.0,Stasiun Cimekar 2,Jalan Rancanumpang,secondary,-6.9468667,107.7057449,Sedang (400-800m)
5458167261_5458167281_STOP329,7,1318.8,1262.1,1391.2,Puskesmas Kujangsari A,Jalan Batununggal Indah IX,tertiary,-6.96245448047227,107.62637594500484,Jauh (>800m)
