tas_nit_id,sentiment_score,avg_rating,n_reviews_total,n_places,positive_ratio,negative_ratio,categories,street_name
1575311287_1083569114_STOP128,0.85,4.6,5,1,0.8,0.0,komersial,Jalan Sarimanah
1655728948_13136294320_STOP220,0.8454,4.45,20,4,0.95,0.05,"katering,lainnya",Jalan Dr. Setiabudi
1655728948_13136294320_STOP472,0.5916,3.6,10,2,0.6,0.3,"pendidikan,katering",Jalan Dr. Setiabudi
1658426552_12809283848_STOP241,0.45,3.0,5,1,0.4,0.4,lainnya,Jalan Prof. Dr. Surya Soemantri
1658426557_29356793_STOP351,0.6067,3.4,5,1,0.6,0.4,kesehatan,Jalan Lemah Neundeut
1658431473_1658426552_STOP127,0.5694,3.33,15,3,0.6,0.4,"katering,lainnya",Jalan Prof. Dr. Surya Soemantri
1658431473_1658426552_STOP241,0.9555,4.9,10,2,1.0,0.0,lainnya,Jalan Prof. Dr. Surya Soemantri
1658431473_1658426552_STOP352,0.67,3.8,5,1,0.6,0.2,lainnya,Jalan Prof. Dr. Surya Soemantri
1658431473_1658426557_STOP352,0.8434,4.6,10,2,0.9,0.1,"katering,kesehatan",Jalan Lemah Neundeut
1658431511_306334264_STOP489,0.568,3.4,5,1,0.6,0.4,lainnya,Jalan Cibogo
